"Field Name","fieldID","Plant Date","Days from Plant to Imaging Period","Days from Current Day until Imaging event","Predicted Date of Imaging Event","Imaging Event Name","-1 Morning","-1 Midday","-1 Afternoon","0 Morning","0 Midday","0 Afternoon","1 Morning","1 Midday","1 Afternoon","2 Morning","2 Midday","2 Afternoon","3 Morning","3 Midday","3 Afternoon"
"Home","655","2015-04-26","71","39","2015-07-06","Fourth Vegetative","","","","","","","","","","","","","","",""
"Hoke","648","2015-04-20","77","39","2015-07-06","Fourth Vegetative","","","","","","","","","","","","","","",""
"Rock","1001","2015-04-23","74","39","2015-07-06","Fourth Vegetative","","","","","","","","","","","","","","",""
"Bachus","641","2015-04-29","69","40","2015-07-07","Fourth Vegetative","","","","","","","","","","","","","","",""
"Tucker corn 2015","988","2015-04-29","69","40","2015-07-07","Fourth Vegetative","","","","","","","","","","","","","","",""
"Meyer","646","2015-04-29","69","40","2015-07-07","Fourth Vegetative","","","","","","","","","","","","","","",""
"Home/Jansen","615","2015-04-29","69","40","2015-07-07","Fourth Vegetative","","","","","","","","","","","","","","",""
"Home","618","2015-04-28","70","40","2015-07-07","Fourth Vegetative","","","","","","","","","","","","","","",""
"N-80","620","2015-05-01","67","40","2015-07-07","Fourth Vegetative","","","","","","","","","","","","","","",""
"Elvira","650","2015-04-30","68","40","2015-07-07","Fourth Vegetative","","","","","","","","","","","","","","",""
"Jason Spain","1000","2015-04-30","68","40","2015-07-07","Fourth Vegetative","","","","","","","","","","","","","","",""
"KTNW & KTNE","636","2015-05-04","64","40","2015-07-07","Fourth Vegetative","","","","","","","","","","","","","","",""
"North Field","579","2015-04-30","68","40","2015-07-07","Fourth Vegetative","","","","","","","","","","","","","","",""
"2131-BURBRINK","365","2015-05-02","66","40","2015-07-07","Fourth Vegetative","","","","","","","","","","","","","","",""
"2132-ROWLAND","491","2015-05-02","66","40","2015-07-07","Fourth Vegetative","","","","","","","","","","","","","","",""
"Wisconsin","616","2015-05-01","67","40","2015-07-07","Fourth Vegetative","","","","","","","","","","","","","","",""
"Frye","617","2015-04-28","70","40","2015-07-07","Fourth Vegetative","","","","","","","","","","","","","","",""
"George's","619","2015-04-30","68","40","2015-07-07","Fourth Vegetative","","","","","","","","","","","","","","",""
"Lee's South","656","2015-04-29","69","40","2015-07-07","Fourth Vegetative","","","","","","","","","","","","","","",""
"Irwins","662","2015-05-01","67","40","2015-07-07","Fourth Vegetative","","","","","","","","","","","","","","",""
"Stevenson corn 2015","990","2015-05-02","66","40","2015-07-07","Fourth Vegetative","","","","","","","","","","","","","","",""
"Emery","609","2015-04-30","68","40","2015-07-07","Fourth Vegetative","","","","","","","","","","","","","","",""
"Reeds","610","2015-04-30","68","40","2015-07-07","Fourth Vegetative","","","","","","","","","","","","","","",""
"Jansen","668","2015-04-16","82","40","2015-07-07","Fourth Vegetative","","","","","","","","","","","","","","",""
"Baustian","613","2015-05-01","68","41","2015-07-08","Fourth Vegetative","","","","","","","","","","","","","","",""
"Chubbies","996","2015-05-02","67","41","2015-07-08","Fourth Vegetative","","","","","","","","","","","","","","",""
"Home","997","2015-05-01","68","41","2015-07-08","Fourth Vegetative","","","","","","","","","","","","","","",""
"Dads","1002","2015-05-01","68","41","2015-07-08","Fourth Vegetative","","","","","","","","","","","","","","",""
"Home","1008","2015-05-02","67","41","2015-07-08","Fourth Vegetative","","","","","","","","","","","","","","",""
"Lowden","601","2015-05-01","68","41","2015-07-08","Fourth Vegetative","","","","","","","","","","","","","","",""
"2091-BAILEY","363","2015-05-03","66","41","2015-07-08","Fourth Vegetative","","","","","","","","","","","","","","",""
"Curtis","605","2015-05-03","66","41","2015-07-08","Fourth Vegetative","","","","","","","","","","","","","","",""
"Frank's","657","2015-05-01","68","41","2015-07-08","Fourth Vegetative","","","","","","","","","","","","","","",""
"Barber","1004","2015-05-02","67","41","2015-07-08","Fourth Vegetative","","","","","","","","","","","","","","",""
"W-150","597","2015-05-05","65","42","2015-07-09","Fourth Vegetative","","","","","","","","","","","","","","",""
"Pithan East","999","2015-05-01","69","42","2015-07-09","Fourth Vegetative","","","","","","","","","","","","","","",""
"Hofer","607","2015-05-04","66","42","2015-07-09","Fourth Vegetative","","","","","","","","","","","","","","",""
"Banowetz South","602","2015-05-01","69","42","2015-07-09","Fourth Vegetative","","","","","","","","","","","","","","",""
"Doyle","603","2015-05-01","69","42","2015-07-09","Fourth Vegetative","","","","","","","","","","","","","","",""
"Betty's","625","2015-04-30","70","42","2015-07-09","Fourth Vegetative","","","","","","","","","","","","","","",""
"Robert Grossman","628","2015-04-30","70","42","2015-07-09","Fourth Vegetative","","","","","","","","","","","","","","",""
"Larry Jr. Farm","632","2015-04-30","70","42","2015-07-09","Fourth Vegetative","","","","","","","","","","","","","","",""
"Joice","640","2015-05-04","67","43","2015-07-10","Fourth Vegetative","","","","","","","","","","","","","","",""
"Westcott/Rebuhn","586","2015-04-22","79","43","2015-07-10","Fourth Vegetative","","","","","","","","","","","","","","",""
"Larry Jr. corn 2015","1010","2015-05-02","69","43","2015-07-10","Fourth Vegetative","","","","","","","","","","","","","","",""
"Homer","1628","2015-05-20","52","44","2015-07-11","Fourth Vegetative","","","","","","","","","","","","","","",""
"Carl McKinney","1629","2015-05-19","53","44","2015-07-11","Fourth Vegetative","","","","","","","","","","","","","","",""
"SW8","1635","2015-05-20","52","44","2015-07-11","Fourth Vegetative","","","","","","","","","","","","","","",""
"Humboldt Farm","354","2015-04-29","73","44","2015-07-11","Fourth Vegetative","","","","","","","","","","","","","","",""
"Peterson","585","2015-04-27","75","44","2015-07-11","Fourth Vegetative","","","","","","","","","","","","","","",""
"Grell Farm","627","2015-04-28","74","44","2015-07-11","Fourth Vegetative","","","","","","","","","","","","","","",""
"Lone Tree 9","587","2015-04-21","81","44","2015-07-11","Fourth Vegetative","","","","","","","","","","","","","","",""
"PH3","670","2015-04-30","73","45","2015-07-12","Fourth Vegetative","","","","","","","","","","","","","","",""
"Home Place","338","2015-05-02","71","45","2015-07-12","Fourth Vegetative","","","","","","","","","","","","","","",""
"The 80","339","2015-05-01","72","45","2015-07-12","Fourth Vegetative","","","","","","","","","","","","","","",""
"Oyers","340","2015-05-01","72","45","2015-07-12","Fourth Vegetative","","","","","","","","","","","","","","",""
"Kennings","341","2015-05-01","72","45","2015-07-12","Fourth Vegetative","","","","","","","","","","","","","","",""
"Gary's","342","2015-05-01","72","45","2015-07-12","Fourth Vegetative","","","","","","","","","","","","","","",""
"Jones","343","2015-05-01","72","45","2015-07-12","Fourth Vegetative","","","","","","","","","","","","","","",""
"Eigsti's","345","2015-05-01","72","45","2015-07-12","Fourth Vegetative","","","","","","","","","","","","","","",""
"Michelle's","346","2015-05-01","72","45","2015-07-12","Fourth Vegetative","","","","","","","","","","","","","","",""
"Topliff Farm","347","2015-05-01","72","45","2015-07-12","Fourth Vegetative","","","","","","","","","","","","","","",""
"North of Dredge","348","2015-05-01","72","45","2015-07-12","Fourth Vegetative","","","","","","","","","","","","","","",""
"South of Dredge","349","2015-05-01","72","45","2015-07-12","Fourth Vegetative","","","","","","","","","","","","","","",""
"Bowen's","350","2015-05-01","72","45","2015-07-12","Fourth Vegetative","","","","","","","","","","","","","","",""
"Sally's","351","2015-05-01","72","45","2015-07-12","Fourth Vegetative","","","","","","","","","","","","","","",""
"Bill's Home","352","2015-05-01","72","45","2015-07-12","Fourth Vegetative","","","","","","","","","","","","","","",""
"Horace's","353","2015-05-01","72","45","2015-07-12","Fourth Vegetative","","","","","","","","","","","","","","",""
"Hoover/Wagner North","584","2015-04-29","74","45","2015-07-12","Fourth Vegetative","","","","","","","","","","","","","","",""
"Boehnke Split","621","2015-04-28","75","45","2015-07-12","Fourth Vegetative","","","","","","","","","","","","","","",""
"Trail Farm","622","2015-04-28","75","45","2015-07-12","Fourth Vegetative","","","","","","","","","","","","","","",""
"Curt Hudson Farms - East Farm","879","2015-05-14","59","45","2015-07-12","Fourth Vegetative","","","","","","","","","","","","","","",""
"Packwood corn 2015","993","2015-05-13","61","46","2015-07-13","Fourth Vegetative","","","","","","","","","","","","","","",""
"Mente","638","2015-05-10","64","46","2015-07-13","Fourth Vegetative","","","","","","","","","","","","","","",""
"Kings","344","2015-05-03","71","46","2015-07-13","Fourth Vegetative","","","","","","","","","","","","","","",""
"Pitts 5","582","2015-05-02","72","46","2015-07-13","Fourth Vegetative","","","","","","","","","","","","","","",""
"Pitts 5","583","2015-05-02","72","46","2015-07-13","Fourth Vegetative","","","","","","","","","","","","","","",""
"Hartje NE","588","2015-05-02","72","46","2015-07-13","Fourth Vegetative","","","","","","","","","","","","","","",""
"Hartje NW","589","2015-05-02","72","46","2015-07-13","Fourth Vegetative","","","","","","","","","","","","","","",""
"Hartje West","590","2015-05-02","72","46","2015-07-13","Fourth Vegetative","","","","","","","","","","","","","","",""
"Hazen","1005","2015-05-12","62","46","2015-07-13","Fourth Vegetative","","","","","","","","","","","","","","",""
"Home Farm Split","626","2015-05-01","73","46","2015-07-13","Fourth Vegetative","","","","","","","","","","","","","","",""
"Home W Farm","629","2015-04-30","74","46","2015-07-13","Fourth Vegetative","","","","","","","","","","","","","","",""
"Arvids N 80","630","2015-05-01","73","46","2015-07-13","Fourth Vegetative","","","","","","","","","","","","","","",""
"Stricker 80 Split","631","2015-04-30","74","46","2015-07-13","Fourth Vegetative","","","","","","","","","","","","","","",""
"Tucker beans 2015","987","2015-05-13","62","47","2015-07-14","Fourth Vegetative","","","","","","","","","","","","","","",""
"Dad's","1006","2015-05-12","63","47","2015-07-14","Fourth Vegetative","","","","","","","","","","","","","","",""
"Mud Creek beans 2015","985","2015-05-15","60","47","2015-07-14","Fourth Vegetative","","","","","","","","","","","","","","",""
"Peitzke Farm","624","2015-05-02","73","47","2015-07-14","Fourth Vegetative","","","","","","","","","","","","","","",""
"County Home","1003","2015-05-15","61","48","2015-07-15","Fourth Vegetative","","","","","","","","","","","","","","",""
"Packwood beans 2015","994","2015-05-19","58","49","2015-07-16","Fourth Vegetative","","","","","","","","","","","","","","",""
"Precision Ag - Innovation","320","2015-04-23","84","49","2015-07-16","Fourth Vegetative","","","","","","","","","","","","","","",""
"Faust Red Barn - South Field","876","2015-05-20","57","49","2015-07-16","Fourth Vegetative","","","","","","","","","","","","","","",""
"PH 2","669","2015-05-10","68","50","2015-07-17","Fourth Vegetative","","","","","","","","","","","","","","",""
"Home","606","2015-05-20","58","50","2015-07-17","Fourth Vegetative","","","","","","","","","","","","","","",""
"40","995","2015-05-19","59","50","2015-07-17","Fourth Vegetative","","","","","","","","","","","","","","",""
"Agronomy - SW1","322","2015-04-25","83","50","2015-07-17","Fourth Vegetative","","","","","","","","","","","","","","",""
"Agronomy - SW3","323","2015-04-24","84","50","2015-07-17","Fourth Vegetative","","","","","","","","","","","","","","",""
"Agronomy SW4N","573","2015-04-24","84","50","2015-07-17","Fourth Vegetative","","","","","","","","","","","","","","",""
"Agronomy - SW5","576","2015-04-27","81","50","2015-07-17","Fourth Vegetative","","","","","","","","","","","","","","",""
"Agronomy - NE7","578","2015-04-25","83","50","2015-07-17","Fourth Vegetative","","","","","","","","","","","","","","",""
"Stevenson beans 2015","989","2015-05-22","56","50","2015-07-17","Fourth Vegetative","","","","","","","","","","","","","","",""
"Wilkon","649","2015-05-19","59","50","2015-07-17","Fourth Vegetative","","","","","","","","","","","","","","",""
"Across from Bins","569","2015-05-04","74","50","2015-07-17","Fourth Vegetative","","","","","","","","","","","","","","",""
"Across Road from Bins","570","2015-05-04","74","50","2015-07-17","Fourth Vegetative","","","","","","","","","","","","","","",""
"County Poor Farm","623","2015-05-08","70","50","2015-07-17","Fourth Vegetative","","","","","","","","","","","","","","",""
"Walshire","647","2015-05-20","59","51","2015-07-18","Fourth Vegetative","","","","","","","","","","","","","","",""
"Larry Jr. beans 2015","1009","2015-05-18","61","51","2015-07-18","Fourth Vegetative","","","","","","","","","","","","","","",""
"South River Farms","907","2015-04-30","80","52","2015-07-19","Fourth Vegetative","","","","","","","","","","","","","","",""
"Chris North 1/4","910","2015-04-30","80","52","2015-07-19","Fourth Vegetative","","","","","","","","","","","","","","",""
"Walfreds","939","2015-04-30","80","52","2015-07-19","Fourth Vegetative","","","","","","","","","","","","","","",""
"Cosh North","957","2015-04-30","80","52","2015-07-19","Fourth Vegetative","","","","","","","","","","","","","","",""
"Reuters Middle","961","2015-04-30","80","52","2015-07-19","Fourth Vegetative","","","","","","","","","","","","","","",""
"Cosh South","967","2015-04-30","80","52","2015-07-19","Fourth Vegetative","","","","","","","","","","","","","","",""
"Bee-Hive","554","2015-04-28","82","52","2015-07-19","Fourth Vegetative","","","","","","","","","","","","","","",""
"Olsens","914","2015-05-02","79","53","2015-07-20","Fourth Vegetative","","","","","","","","","","","","","","",""
"Edgeley Pivots","531","2015-04-28","83","53","2015-07-20","Fourth Vegetative","","","","","","","","","","","","","","",""
"Agronomy - SW4","321","2015-05-08","75","55","2015-07-22","Fourth Vegetative","","","","","","","","","","","","","","",""
"Carrington Pivots 4","542","2015-04-28","86","56","2015-07-23","Fourth Vegetative","","","","","","","","","","","","","","",""
"Carrington Pivots 2","552","2015-04-28","86","56","2015-07-23","Fourth Vegetative","","","","","","","","","","","","","","",""
"Carrington Pivots 1","568","2015-04-28","86","56","2015-07-23","Fourth Vegetative","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"Peterson","585","2015-04-27","81","50","2015-07-17","Fifth Vegetative","","","","","","","","","","","","","","",""
"Westcott/Rebuhn","586","2015-04-22","86","50","2015-07-17","Fifth Vegetative","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
