"Field Name","fieldID","Plant Date","Days from Plant to Imaging Period","Days from Current Day until Imaging event","Predicted Date of Imaging Event","Imaging Event Name","-1 Morning","-1 Midday","-1 Afternoon","0 Morning","0 Midday","0 Afternoon","1 Morning","1 Midday","1 Afternoon","2 Morning","2 Midday","2 Afternoon","3 Morning","3 Midday","3 Afternoon"
"Peterson","585","2015-04-27","46","18","2015-06-12","Second Vegetative","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"FtBranch-IN","293","2015-05-01","46","22","2015-06-16","Third Vegetative","","","","","","","","","","","","","","",""
"Springfield-IL","283","2015-04-14","63","22","2015-06-16","Third Vegetative","","","","","","","","","","","","","","",""
"Trenton-IL","285","2015-04-29","49","23","2015-06-17","Third Vegetative","","","","","","","","","","","","","","",""
"Shipman-IL","290","2015-04-28","50","23","2015-06-17","Third Vegetative","","","","","","","","","","","","","","",""
"CerroGordo-IL","289","2015-04-23","56","24","2015-06-18","Third Vegetative","","","","","","","","","","","","","","",""
"Joe-40","667","2015-04-15","64","24","2015-06-18","Third Vegetative","","","","","","","","","","","","","","",""
"Sittie","1632","2015-04-21","58","24","2015-06-18","Third Vegetative","","","","","","","","","","","","","","",""
"#1","1645","2015-04-25","54","24","2015-06-18","Third Vegetative","","","","","","","","","","","","","","",""
"Kilbourne-IL","282","2015-04-15","64","24","2015-06-18","Third Vegetative","","","","","","","","","","","","","","",""
"NE 15-27-24 #9","1627","2015-04-20","59","24","2015-06-18","Third Vegetative","","","","","","","","","","","","","","",""
"BowlingGreen-MO","272","2015-04-28","52","25","2015-06-19","Third Vegetative","","","","","","","","","","","","","","",""
"#19B","1638","2015-04-25","55","25","2015-06-19","Third Vegetative","","","","","","","","","","","","","","",""
"Drew House","334","2015-05-03","47","25","2015-06-19","Third Vegetative","","","","","","","","","","","","","","",""
"Home","599","2015-04-11","69","25","2015-06-19","Third Vegetative","","","","","","","","","","","","","","",""
"Macomb-IL","287","2015-04-16","64","25","2015-06-19","Third Vegetative","","","","","","","","","","","","","","",""
"Mike's","635","2015-04-17","63","25","2015-06-19","Third Vegetative","","","","","","","","","","","","","","",""
"E 14-27-24 #11","1626","2015-04-22","58","25","2015-06-19","Third Vegetative","","","","","","","","","","","","","","",""
"#2G","1639","2015-04-21","59","25","2015-06-19","Third Vegetative","","","","","","","","","","","","","","",""
"Field 1 ","326","2015-04-01","80","26","2015-06-20","Third Vegetative","","","","","","","","","","","","","","",""
"Philo-IL","284","2015-04-30","51","26","2015-06-20","Third Vegetative","","","","","","","","","","","","","","",""
"Effingham-IL","286","2015-05-05","46","26","2015-06-20","Third Vegetative","","","","","","","","","","","","","","",""
"Jim Home North","591","2015-04-22","59","26","2015-06-20","Third Vegetative","","","","","","","","","","","","","","",""
"Jim Home South","592","2015-04-22","59","26","2015-06-20","Third Vegetative","","","","","","","","","","","","","","",""
"Jim Home North","595","2015-04-22","59","26","2015-06-20","Third Vegetative","","","","","","","","","","","","","","",""
"#21","1642","2015-04-29","52","26","2015-06-20","Third Vegetative","","","","","","","","","","","","","","",""
"#21","1643","2015-04-29","52","26","2015-06-20","Third Vegetative","","","","","","","","","","","","","","",""
"#21","1644","2015-04-29","52","26","2015-06-20","Third Vegetative","","","","","","","","","","","","","","",""
"#11","1646","2015-04-30","51","26","2015-06-20","Third Vegetative","","","","","","","","","","","","","","",""
"Austin-IN","297","2015-05-05","46","26","2015-06-20","Third Vegetative","","","","","","","","","","","","","","",""
"Franklin-IN","304","2015-05-04","47","26","2015-06-20","Third Vegetative","","","","","","","","","","","","","","",""
"Don's","661","2015-04-15","66","26","2015-06-20","Third Vegetative","","","","","","","","","","","","","","",""
"K-State West","331","2015-04-22","59","26","2015-06-20","Third Vegetative","","","","","","","","","","","","","","",""
"K State West","333","2015-04-22","59","26","2015-06-20","Third Vegetative","","","","","","","","","","","","","","",""
"Perrysville-IN","294","2015-04-29","52","26","2015-06-20","Third Vegetative","","","","","","","","","","","","","","",""
"Patterson Ranch- South Bottom","336","2015-04-22","59","26","2015-06-20","Third Vegetative","","","","","","","","","","","","","","",""
"Jim North","593","2015-04-22","59","26","2015-06-20","Third Vegetative","","","","","","","","","","","","","","",""
"Esther East","594","2015-04-23","58","26","2015-06-20","Third Vegetative","","","","","","","","","","","","","","",""
"HQ - NE","1011","2015-04-24","58","27","2015-06-21","Third Vegetative","","","","","","","","","","","","","","",""
"Barrett 40","1021","2015-04-27","55","27","2015-06-21","Third Vegetative","","","","","","","","","","","","","","",""
"Farmers Drive","1023","2015-04-25","57","27","2015-06-21","Third Vegetative","","","","","","","","","","","","","","",""
"Erling","1007","2015-04-17","65","27","2015-06-21","Third Vegetative","","","","","","","","","","","","","","",""
"Irwin","653","2015-04-17","65","27","2015-06-21","Third Vegetative","","","","","","","","","","","","","","",""
"N. Doran","1633","2015-05-01","51","27","2015-06-21","Third Vegetative","","","","","","","","","","","","","","",""
"S. Doran","1634","2015-04-30","52","27","2015-06-21","Third Vegetative","","","","","","","","","","","","","","",""
"Mudd Creek corn 2015","986","2015-04-16","66","27","2015-06-21","Third Vegetative","","","","","","","","","","","","","","",""
"Farmersburg-IN","296","2015-05-07","46","28","2015-06-22","Third Vegetative","","","","","","","","","","","","","","",""
"Bishop","651","2015-04-17","66","28","2015-06-22","Third Vegetative","","","","","","","","","","","","","","",""
"S Bottom 158","1014","2015-04-28","55","28","2015-06-22","Third Vegetative","","","","","","","","","","","","","","",""
"Hibbard North","1015","2015-04-28","55","28","2015-06-22","Third Vegetative","","","","","","","","","","","","","","",""
"SAX-2010","1016","2015-04-29","54","28","2015-06-22","Third Vegetative","","","","","","","","","","","","","","",""
"3218-BAUM","438","2015-04-18","65","28","2015-06-22","Third Vegetative","","","","","","","","","","","","","","",""
"Kyle's","614","2015-04-27","56","28","2015-06-22","Third Vegetative","","","","","","","","","","","","","","",""
"Leroy/Hamann","658","2015-04-17","66","28","2015-06-22","Third Vegetative","","","","","","","","","","","","","","",""
"Kreiger","678","2015-04-30","53","28","2015-06-22","Third Vegetative","","","","","","","","","","","","","","",""
"The 90","652","2015-04-14","69","28","2015-06-22","Third Vegetative","","","","","","","","","","","","","","",""
"Tom Wilson","1630","2015-05-03","50","28","2015-06-22","Third Vegetative","","","","","","","","","","","","","","",""
"Houston","1631","2015-05-02","51","28","2015-06-22","Third Vegetative","","","","","","","","","","","","","","",""
"2092-BAILEY WEST","388","2015-04-17","66","28","2015-06-22","Third Vegetative","","","","","","","","","","","","","","",""
"3208-STOOKEY","395","2015-04-17","66","28","2015-06-22","Third Vegetative","","","","","","","","","","","","","","",""
"3250-BAILEY HOME","396","2015-04-17","66","28","2015-06-22","Third Vegetative","","","","","","","","","","","","","","",""
"3249-POLK WEBSTER","479","2015-04-17","66","28","2015-06-22","Third Vegetative","","","","","","","","","","","","","","",""
"E Hammonds 92","1012","2015-04-30","54","29","2015-06-23","Third Vegetative","","","","","","","","","","","","","","",""
"S Hoopers 123","1013","2015-04-30","54","29","2015-06-23","Third Vegetative","","","","","","","","","","","","","","",""
"DOR-1","1022","2015-05-01","53","29","2015-06-23","Third Vegetative","","","","","","","","","","","","","","",""
"Home","655","2015-04-26","58","29","2015-06-23","Third Vegetative","","","","","","","","","","","","","","",""
"Home","634","2015-04-29","55","29","2015-06-23","Third Vegetative","","","","","","","","","","","","","","",""
"Waco-NE","251","2015-04-16","68","29","2015-06-23","Third Vegetative","","","","","","","","","","","","","","",""
"Richland-IA","277","2015-04-17","67","29","2015-06-23","Third Vegetative","","","","","","","","","","","","","","",""
"Hall","1024","2015-05-01","53","29","2015-06-23","Third Vegetative","","","","","","","","","","","","","","",""
"#7","1641","2015-05-04","50","29","2015-06-23","Third Vegetative","","","","","","","","","","","","","","",""
"Graves","664","2015-04-20","64","29","2015-06-23","Third Vegetative","","","","","","","","","","","","","","",""
"Hiawatha-KS","273","2015-05-01","53","29","2015-06-23","Third Vegetative","","","","","","","","","","","","","","",""
"N-120","611","2015-04-28","56","29","2015-06-23","Third Vegetative","","","","","","","","","","","","","","",""
"Blue Grass","645","2015-04-22","62","29","2015-06-23","Third Vegetative","","","","","","","","","","","","","","",""
"Allen's","654","2015-04-29","56","30","2015-06-24","Third Vegetative","","","","","","","","","","","","","","",""
"Irwins","662","2015-05-01","54","30","2015-06-24","Third Vegetative","","","","","","","","","","","","","","",""
"Dorchester-NE","255","2015-04-22","63","30","2015-06-24","Third Vegetative","","","","","","","","","","","","","","",""
"Home","608","2015-04-27","58","30","2015-06-24","Third Vegetative","","","","","","","","","","","","","","",""
"Rock","1001","2015-04-23","62","30","2015-06-24","Third Vegetative","","","","","","","","","","","","","","",""
"Oaks","663","2015-04-29","56","30","2015-06-24","Third Vegetative","","","","","","","","","","","","","","",""
"Demotte-IN","300","2015-04-28","57","30","2015-06-24","Third Vegetative","","","","","","","","","","","","","","",""
"Lee","998","2015-04-23","62","30","2015-06-24","Third Vegetative","","","","","","","","","","","","","","",""
"Block","600","2015-04-30","55","30","2015-06-24","Third Vegetative","","","","","","","","","","","","","","",""
"Home","612","2015-04-30","55","30","2015-06-24","Third Vegetative","","","","","","","","","","","","","","",""
"Hoke","648","2015-04-20","65","30","2015-06-24","Third Vegetative","","","","","","","","","","","","","","",""
"Gordon","633","2015-05-01","54","30","2015-06-24","Third Vegetative","","","","","","","","","","","","","","",""
"Stanwood-IA","281","2015-04-16","69","30","2015-06-24","Third Vegetative","","","","","","","","","","","","","","",""
"Home","604","2015-04-29","57","31","2015-06-25","Third Vegetative","","","","","","","","","","","","","","",""
"Jansen","668","2015-04-16","70","31","2015-06-25","Third Vegetative","","","","","","","","","","","","","","",""
"Lee's South","656","2015-04-29","57","31","2015-06-25","Third Vegetative","","","","","","","","","","","","","","",""
"Schmalz","598","2015-04-30","56","31","2015-06-25","Third Vegetative","","","","","","","","","","","","","","",""
"N-80","620","2015-05-01","55","31","2015-06-25","Third Vegetative","","","","","","","","","","","","","","",""
"George's","619","2015-04-30","56","31","2015-06-25","Third Vegetative","","","","","","","","","","","","","","",""
"Swedsbung","666","2015-05-01","55","31","2015-06-25","Third Vegetative","","","","","","","","","","","","","","",""
"Bachus","641","2015-04-29","57","31","2015-06-25","Third Vegetative","","","","","","","","","","","","","","",""
"Meyer","646","2015-04-29","57","31","2015-06-25","Third Vegetative","","","","","","","","","","","","","","",""
"Tucker corn 2015","988","2015-04-29","57","31","2015-06-25","Third Vegetative","","","","","","","","","","","","","","",""
"2131-BURBRINK","365","2015-05-02","54","31","2015-06-25","Third Vegetative","","","","","","","","","","","","","","",""
"2132-ROWLAND","491","2015-05-02","54","31","2015-06-25","Third Vegetative","","","","","","","","","","","","","","",""
"Lowden","601","2015-05-01","56","32","2015-06-26","Third Vegetative","","","","","","","","","","","","","","",""
"Baustian","613","2015-05-01","56","32","2015-06-26","Third Vegetative","","","","","","","","","","","","","","",""
"South Corn","580","2015-04-29","58","32","2015-06-26","Third Vegetative","","","","","","","","","","","","","","",""
"Home/Jansen","615","2015-04-29","58","32","2015-06-26","Third Vegetative","","","","","","","","","","","","","","",""
"Home","997","2015-05-01","56","32","2015-06-26","Third Vegetative","","","","","","","","","","","","","","",""
"Jason Spain","1000","2015-04-30","57","32","2015-06-26","Third Vegetative","","","","","","","","","","","","","","",""
"Dads","1002","2015-05-01","56","32","2015-06-26","Third Vegetative","","","","","","","","","","","","","","",""
"Frye","617","2015-04-28","59","32","2015-06-26","Third Vegetative","","","","","","","","","","","","","","",""
"Emery","609","2015-04-30","57","32","2015-06-26","Third Vegetative","","","","","","","","","","","","","","",""
"Reeds","610","2015-04-30","57","32","2015-06-26","Third Vegetative","","","","","","","","","","","","","","",""
"Barber","1004","2015-05-02","55","32","2015-06-26","Third Vegetative","","","","","","","","","","","","","","",""
"Elvira","650","2015-04-30","57","32","2015-06-26","Third Vegetative","","","","","","","","","","","","","","",""
"Home","1008","2015-05-02","55","32","2015-06-26","Third Vegetative","","","","","","","","","","","","","","",""
"SiouxCenter-IA","233","2015-04-17","70","32","2015-06-26","Third Vegetative","","","","","","","","","","","","","","",""
"KTNW & KTNE","636","2015-05-04","53","32","2015-06-26","Third Vegetative","","","","","","","","","","","","","","",""
"Pella-IA","278","2015-04-30","57","32","2015-06-26","Third Vegetative","","","","","","","","","","","","","","",""
"Stevenson corn 2015","990","2015-05-02","55","32","2015-06-26","Third Vegetative","","","","","","","","","","","","","","",""
"Home","618","2015-04-28","59","32","2015-06-26","Third Vegetative","","","","","","","","","","","","","","",""
"Wisconsin","616","2015-05-01","56","32","2015-06-26","Third Vegetative","","","","","","","","","","","","","","",""
"2091-BAILEY","363","2015-05-03","54","32","2015-06-26","Third Vegetative","","","","","","","","","","","","","","",""
"Aurora","256","2015-05-01","57","33","2015-06-27","Third Vegetative","","","","","","","","","","","","","","",""
"Blencoe-IA","229","2015-04-27","61","33","2015-06-27","Third Vegetative","","","","","","","","","","","","","","",""
"North Field","579","2015-04-30","58","33","2015-06-27","Third Vegetative","","","","","","","","","","","","","","",""
"Peterson","585","2015-04-27","61","33","2015-06-27","Third Vegetative","","","","","","","","","","","","","","",""
"Chubbies","996","2015-05-02","56","33","2015-06-27","Third Vegetative","","","","","","","","","","","","","","",""
"Banowetz South","602","2015-05-01","57","33","2015-06-27","Third Vegetative","","","","","","","","","","","","","","",""
"Doyle","603","2015-05-01","57","33","2015-06-27","Third Vegetative","","","","","","","","","","","","","","",""
"Curtis","605","2015-05-03","55","33","2015-06-27","Third Vegetative","","","","","","","","","","","","","","",""
"Frank's","657","2015-05-01","57","33","2015-06-27","Third Vegetative","","","","","","","","","","","","","","",""
"Hofer","607","2015-05-04","54","33","2015-06-27","Third Vegetative","","","","","","","","","","","","","","",""
"Pithan East","999","2015-05-01","57","33","2015-06-27","Third Vegetative","","","","","","","","","","","","","","",""
"Lone Tree 9","587","2015-04-21","67","33","2015-06-27","Third Vegetative","","","","","","","","","","","","","","",""
"Westcott/Rebuhn","586","2015-04-22","66","33","2015-06-27","Third Vegetative","","","","","","","","","","","","","","",""
"Holdrege-NE","219","2015-04-28","61","34","2015-06-28","Third Vegetative","","","","","","","","","","","","","","",""
"NorthBend","258","2015-04-30","59","34","2015-06-28","Third Vegetative","","","","","","","","","","","","","","",""
"Betty's","625","2015-04-30","59","34","2015-06-28","Third Vegetative","","","","","","","","","","","","","","",""
"Robert Grossman","628","2015-04-30","59","34","2015-06-28","Third Vegetative","","","","","","","","","","","","","","",""
"W-150","597","2015-05-05","54","34","2015-06-28","Third Vegetative","","","","","","","","","","","","","","",""
"Joice","640","2015-05-04","55","34","2015-06-28","Third Vegetative","","","","","","","","","","","","","","",""
"Larry Jr. Farm","632","2015-04-30","59","34","2015-06-28","Third Vegetative","","","","","","","","","","","","","","",""
"Hoover/Wagner North","584","2015-04-29","60","34","2015-06-28","Third Vegetative","","","","","","","","","","","","","","",""
"Wakefield","249","2015-04-29","61","35","2015-06-29","Third Vegetative","","","","","","","","","","","","","","",""
"Albion","253","2015-04-27","63","35","2015-06-29","Third Vegetative","","","","","","","","","","","","","","",""
"Larry Jr. corn 2015","1010","2015-05-02","58","35","2015-06-29","Third Vegetative","","","","","","","","","","","","","","",""
"Pitts 5","582","2015-05-02","58","35","2015-06-29","Third Vegetative","","","","","","","","","","","","","","",""
"Pitts 5","583","2015-05-02","58","35","2015-06-29","Third Vegetative","","","","","","","","","","","","","","",""
"Worthington-MN","230","2015-04-23","68","36","2015-06-30","Third Vegetative","","","","","","","","","","","","","","",""
"Spider Ag Cover Crop/Quick Roots Trial","332","2015-05-16","45","36","2015-06-30","Third Vegetative","","","","","","","","","","","","","","",""
"Mitchell-SD","232","2015-05-01","60","36","2015-06-30","Third Vegetative","","","","","","","","","","","","","","",""
"Humboldt Farm","354","2015-04-29","62","36","2015-06-30","Third Vegetative","","","","","","","","","","","","","","",""
"Apple Field 1","679","2015-05-01","60","36","2015-06-30","Third Vegetative","","","","","","","","","","","","","","",""
"Apple Field 2","680","2015-05-01","60","36","2015-06-30","Third Vegetative","","","","","","","","","","","","","","",""
"Arcadia-IA","274","2015-04-29","62","36","2015-06-30","Third Vegetative","","","","","","","","","","","","","","",""
"Platteville-WI","224","2015-04-30","61","36","2015-06-30","Third Vegetative","","","","","","","","","","","","","","",""
"House","327","2015-04-20","71","36","2015-06-30","Third Vegetative","","","","","","","","","","","","","","",""
"Boehnke Split","621","2015-04-28","63","36","2015-06-30","Third Vegetative","","","","","","","","","","","","","","",""
"Grell Farm","627","2015-04-28","63","36","2015-06-30","Third Vegetative","","","","","","","","","","","","","","",""
"Janesville-WI","223","2015-04-29","63","37","2015-07-01","Third Vegetative","","","","","","","","","","","","","","",""
"Vincent-IA","234","2015-05-01","61","37","2015-07-01","Third Vegetative","","","","","","","","","","","","","","",""
"Plainview","259","2015-04-29","63","37","2015-07-01","Third Vegetative","","","","","","","","","","","","","","",""
"Corn Field 1","676","2015-04-01","91","37","2015-07-01","Third Vegetative","","","","","","","","","","","","","","",""
"Corn Field 1","897","2015-04-01","91","37","2015-07-01","Third Vegetative","","","","","","","","","","","","","","",""
"Creston-IA","279","2015-05-08","54","37","2015-07-01","Third Vegetative","","","","","","","","","","","","","","",""
"Home Place","338","2015-05-02","60","37","2015-07-01","Third Vegetative","","","","","","","","","","","","","","",""
"The 80","339","2015-05-01","61","37","2015-07-01","Third Vegetative","","","","","","","","","","","","","","",""
"Kennings","341","2015-05-01","61","37","2015-07-01","Third Vegetative","","","","","","","","","","","","","","",""
"Osco-IL","288","2015-05-12","50","37","2015-07-01","Third Vegetative","","","","","","","","","","","","","","",""
"Trail Farm","622","2015-04-28","64","37","2015-07-01","Third Vegetative","","","","","","","","","","","","","","",""
"Carl McKinney","1629","2015-05-19","44","38","2015-07-02","Third Vegetative","","","","","","","","","","","","","","",""
"SW8","1635","2015-05-20","43","38","2015-07-02","Third Vegetative","","","","","","","","","","","","","","",""
"Packwood corn 2015","993","2015-05-13","50","38","2015-07-02","Third Vegetative","","","","","","","","","","","","","","",""
"K-State East","330","2015-05-21","42","38","2015-07-02","Third Vegetative","","","","","","","","","","","","","","",""
"Truman-MN","268","2015-04-28","65","38","2015-07-02","Third Vegetative","","","","","","","","","","","","","","",""
"Kings","344","2015-05-03","60","38","2015-07-02","Third Vegetative","","","","","","","","","","","","","","",""
"Homer","1628","2015-05-20","43","38","2015-07-02","Third Vegetative","","","","","","","","","","","","","","",""
"Hazen","1005","2015-05-12","51","38","2015-07-02","Third Vegetative","","","","","","","","","","","","","","",""
"PH3","670","2015-04-30","63","38","2015-07-02","Third Vegetative","","","","","","","","","","","","","","",""
"Hartje NE","588","2015-05-02","61","38","2015-07-02","Third Vegetative","","","","","","","","","","","","","","",""
"Hartje NW","589","2015-05-02","61","38","2015-07-02","Third Vegetative","","","","","","","","","","","","","","",""
"Hartje West","590","2015-05-02","61","38","2015-07-02","Third Vegetative","","","","","","","","","","","","","","",""
"Dad's","1006","2015-05-12","51","38","2015-07-02","Third Vegetative","","","","","","","","","","","","","","",""
"Mente","638","2015-05-10","53","38","2015-07-02","Third Vegetative","","","","","","","","","","","","","","",""
"Peitzke Farm","624","2015-05-02","61","38","2015-07-02","Third Vegetative","","","","","","","","","","","","","","",""
"Home Farm Split","626","2015-05-01","62","38","2015-07-02","Third Vegetative","","","","","","","","","","","","","","",""
"Home W Farm","629","2015-04-30","63","38","2015-07-02","Third Vegetative","","","","","","","","","","","","","","",""
"Arvids N 80","630","2015-05-01","62","38","2015-07-02","Third Vegetative","","","","","","","","","","","","","","",""
"Stricker 80 Split","631","2015-04-30","63","38","2015-07-02","Third Vegetative","","","","","","","","","","","","","","",""
"Elgin-MN","261","2015-04-17","77","39","2015-07-03","Third Vegetative","","","","","","","","","","","","","","",""
"Sanborn-MN","262","2015-04-27","67","39","2015-07-03","Third Vegetative","","","","","","","","","","","","","","",""
"North Platte-NE","220","2015-05-01","63","39","2015-07-03","Third Vegetative","","","","","","","","","","","","","","",""
"Mud Creek beans 2015","985","2015-05-15","49","39","2015-07-03","Third Vegetative","","","","","","","","","","","","","","",""
"Tucker beans 2015","987","2015-05-13","51","39","2015-07-03","Third Vegetative","","","","","","","","","","","","","","",""
"Hayfield-MN","265","2015-04-28","67","40","2015-07-04","Third Vegetative","","","","","","","","","","","","","","",""
"Henderson-MN","263","2015-04-23","72","40","2015-07-04","Third Vegetative","","","","","","","","","","","","","","",""
"Lafayette-IN","301","2015-05-18","47","40","2015-07-04","Third Vegetative","","","","","","","","","","","","","","",""
"County Home","1003","2015-05-15","50","40","2015-07-04","Third Vegetative","","","","","","","","","","","","","","",""
"Packwood beans 2015","994","2015-05-19","47","41","2015-07-05","Third Vegetative","","","","","","","","","","","","","","",""
"Danube-MN","264","2015-04-29","67","41","2015-07-05","Third Vegetative","","","","","","","","","","","","","","",""
"Noelle TEST1","905","2015-05-14","52","41","2015-07-05","Third Vegetative","","","","","","","","","","","","","","",""
"Pocahontas-IA","237","2015-05-08","58","41","2015-07-05","Third Vegetative","","","","","","","","","","","","","","",""
"Liza1","902","2015-05-01","65","41","2015-07-05","Third Vegetative","","","","","","","","","","","","","","",""
"40","995","2015-05-19","48","42","2015-07-06","Third Vegetative","","","","","","","","","","","","","","",""
"Manchester-IA","280","2015-05-13","54","42","2015-07-06","Third Vegetative","","","","","","","","","","","","","","",""
"PH 2","669","2015-05-10","57","42","2015-07-06","Third Vegetative","","","","","","","","","","","","","","",""
"Britt-IA","236","2015-05-09","58","42","2015-07-06","Third Vegetative","","","","","","","","","","","","","","",""
"Wilkon","649","2015-05-19","48","42","2015-07-06","Third Vegetative","","","","","","","","","","","","","","",""
"Precision Ag - Innovation","320","2015-04-23","74","42","2015-07-06","Third Vegetative","","","","","","","","","","","","","","",""
"Agronomy - SW3","323","2015-04-24","73","42","2015-07-06","Third Vegetative","","","","","","","","","","","","","","",""
"Agronomy SW4N","573","2015-04-24","73","42","2015-07-06","Third Vegetative","","","","","","","","","","","","","","",""
"Across from Bins","569","2015-05-04","63","42","2015-07-06","Third Vegetative","","","","","","","","","","","","","","",""
"Across Road from Bins","570","2015-05-04","63","42","2015-07-06","Third Vegetative","","","","","","","","","","","","","","",""
"County Poor Farm","623","2015-05-08","59","42","2015-07-06","Third Vegetative","","","","","","","","","","","","","","",""
"Home","606","2015-05-20","47","42","2015-07-06","Third Vegetative","","","","","","","","","","","","","","",""
"Santiago-MN","270","2015-04-30","68","43","2015-07-07","Third Vegetative","","","","","","","","","","","","","","",""
"BeaverDam-WI","225","2015-05-08","60","43","2015-07-07","Third Vegetative","","","","","","","","","","","","","","",""
"CharlesCity-IA","275","2015-05-12","56","43","2015-07-07","Third Vegetative","","","","","","","","","","","","","","",""
"Wheat Farm 2","895","2015-05-01","67","43","2015-07-07","Third Vegetative","","","","","","","","","","","","","","",""
"Larry Jr. beans 2015","1009","2015-05-18","50","43","2015-07-07","Third Vegetative","","","","","","","","","","","","","","",""
"Pierre-SD","317","2015-04-29","69","43","2015-07-07","Third Vegetative","","","","","","","","","","","","","","",""
"Faulkton-SD","312","2015-04-30","68","43","2015-07-07","Third Vegetative","","","","","","","","","","","","","","",""
"Agronomy - SW1","322","2015-04-25","73","43","2015-07-07","Third Vegetative","","","","","","","","","","","","","","",""
"Agronomy - SW5","576","2015-04-27","71","43","2015-07-07","Third Vegetative","","","","","","","","","","","","","","",""
"Agronomy - NE7","578","2015-04-25","73","43","2015-07-07","Third Vegetative","","","","","","","","","","","","","","",""
"BrownsValley-MN","244","2015-04-28","70","43","2015-07-07","Third Vegetative","","","","","","","","","","","","","","",""
"TroyGrove-IL","291","2015-05-19","49","43","2015-07-07","Third Vegetative","","","","","","","","","","","","","","",""
"Menomonie-WI","221","2015-05-05","64","44","2015-07-08","Third Vegetative","","","","","","","","","","","","","","",""
"FergusFalls-MN","247","2015-04-29","70","44","2015-07-08","Third Vegetative","","","","","","","","","","","","","","",""
"Holloway-MN","269","2015-05-05","64","44","2015-07-08","Third Vegetative","","","","","","","","","","","","","","",""
"DeKalb-IL","292","2015-05-19","50","44","2015-07-08","Third Vegetative","","","","","","","","","","","","","","",""
"South River Farms","907","2015-04-30","69","44","2015-07-08","Third Vegetative","","","","","","","","","","","","","","",""
"Chris North 1/4","910","2015-04-30","69","44","2015-07-08","Third Vegetative","","","","","","","","","","","","","","",""
"Walfreds","939","2015-04-30","69","44","2015-07-08","Third Vegetative","","","","","","","","","","","","","","",""
"Cosh North","957","2015-04-30","69","44","2015-07-08","Third Vegetative","","","","","","","","","","","","","","",""
"Reuters Middle","961","2015-04-30","69","44","2015-07-08","Third Vegetative","","","","","","","","","","","","","","",""
"Cosh South","967","2015-04-30","69","44","2015-07-08","Third Vegetative","","","","","","","","","","","","","","",""
"Almena-WI","222","2015-05-05","65","45","2015-07-09","Third Vegetative","","","","","","","","","","","","","","",""
"Ainsworth-NE","257","2015-05-14","56","45","2015-07-09","Third Vegetative","","","","","","","","","","","","","","",""
"Westport-MN","260","2015-05-01","69","45","2015-07-09","Third Vegetative","","","","","","","","","","","","","","",""
"Olsens","914","2015-05-02","68","45","2015-07-09","Third Vegetative","","","","","","","","","","","","","","",""
"Wheat Field 1","894","2015-05-07","64","46","2015-07-10","Third Vegetative","","","","","","","","","","","","","","",""
"Watertown-SD","231","2015-05-05","66","46","2015-07-10","Third Vegetative","","","","","","","","","","","","","","",""
"Belgrade-MN","267","2015-05-04","67","46","2015-07-10","Third Vegetative","","","","","","","","","","","","","","",""
"Ulen-MN","245","2015-04-30","71","46","2015-07-10","Third Vegetative","","","","","","","","","","","","","","",""
"Strasburg-ND","315","2015-05-01","71","47","2015-07-11","Third Vegetative","","","","","","","","","","","","","","",""
"Agronomy - SW4","321","2015-05-08","65","48","2015-07-12","Third Vegetative","","","","","","","","","","","","","","",""
"Test Field 3","904","2015-05-07","67","49","2015-07-13","Third Vegetative","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"Westcott/Rebuhn","586","2015-04-22","76","43","2015-07-07","Fourth Vegetative","","","","","","","","","","","","","","",""
"Peterson","585","2015-04-27","72","44","2015-07-08","Fourth Vegetative","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"FtBranch-IN","293","2015-05-01","61","37","2015-07-01","Fifth Vegetative","","","","","","","","","","","","","","",""
"Trenton-IL","285","2015-04-29","64","38","2015-07-02","Fifth Vegetative","","","","","","","","","","","","","","",""
"Springfield-IL","283","2015-04-14","79","38","2015-07-02","Fifth Vegetative","","","","","","","","","","","","","","",""
"Sittie","1632","2015-04-21","73","39","2015-07-03","Fifth Vegetative","","","","","","","","","","","","","","",""
"Shipman-IL","290","2015-04-28","66","39","2015-07-03","Fifth Vegetative","","","","","","","","","","","","","","",""
"NE 15-27-24 #9","1627","2015-04-20","74","39","2015-07-03","Fifth Vegetative","","","","","","","","","","","","","","",""
"CerroGordo-IL","289","2015-04-23","72","40","2015-07-04","Fifth Vegetative","","","","","","","","","","","","","","",""
"BowlingGreen-MO","272","2015-04-28","67","40","2015-07-04","Fifth Vegetative","","","","","","","","","","","","","","",""
"#19B","1638","2015-04-25","70","40","2015-07-04","Fifth Vegetative","","","","","","","","","","","","","","",""
"#1","1645","2015-04-25","70","40","2015-07-04","Fifth Vegetative","","","","","","","","","","","","","","",""
"Kilbourne-IL","282","2015-04-15","80","40","2015-07-04","Fifth Vegetative","","","","","","","","","","","","","","",""
"E 14-27-24 #11","1626","2015-04-22","73","40","2015-07-04","Fifth Vegetative","","","","","","","","","","","","","","",""
"#2G","1639","2015-04-21","74","40","2015-07-04","Fifth Vegetative","","","","","","","","","","","","","","",""
"Effingham-IL","286","2015-05-05","61","41","2015-07-05","Fifth Vegetative","","","","","","","","","","","","","","",""
